Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
U2,ESP-32s,ESP-32S,C473012,TOP,90,-3238.39,4350
USB-TIPO B-MICRO-SMD,USB-TIPO-B-MICRO-SMD,0476420001,,TOP,180,-5064.96,4795.57
PINES LIBRES,CONN-SIL18,CONN-SIL18,,TOP,180,-3300.39,4854.33
S-CAP1,TBLOCK-M3,TBLOCK-M3,,TOP,270,-5645.67,4574.65
S-CAP2,TBLOCK-M3,TBLOCK-M3,,TOP,270,-5645.67,3976.23
S-CAP3,TBLOCK-M3,TBLOCK-M3,,TOP,270,-5645.67,3377.8
S-OPTICO1,TBLOCK-M3,TBLOCK-M3,,TOP,270,-5645.67,2775.44
S-TEMP1,TBLOCK-M3,TBLOCK-M3,,TOP,270,-5645.67,2173.08
4-20-A,TBLOCK-M2,TBLOCK-M2,,TOP,270,-5645.67,1669.22
4-20-B,TBLOCK-M2,TBLOCK-M2,,TOP,270,-5645.67,1267.64
FUENTE,TBLOCK-M2,TBLOCK-M2,,TOP,0,-3350.47,1169.29
OUT1,TBLOCK-M2,TBLOCK-M2,,TOP,90,-2011.81,2716.61
OUT2,TBLOCK-M2,TBLOCK-M2,,TOP,90,-2011.81,2315.04
OUT4   OUT3,TBLOCK-M2,TBLOCK-M2,,TOP,90,-2011.81,1913.46
12V,TBLOCK-M2,TBLOCK-M2,,TOP,90,-2011.81,1511.89
220V,TBLOCK-M2,TBLOCK-M2,,TOP,90,-2011.81,3114.25
LCD,CONN-H4,CONN-SIL4,,TOP,180,-2153.94,4854.33
BTN1,RST,BUTTON SMD 2P,C561519,TOP,270,-4637.8,4811.02
BTN2,RST,BUTTON SMD 2P,C561519,TOP,270,-4393.7,4807.09
RELAY1,5 Vcc. 10 Amp,117211503,,TOP,0,-2799.21,2940.94
RELAY2,5 Vcc. 10 Amp,117211503,,TOP,0,-2799.21,2275.59
ULN2803AG,ULN2803,SOP18,,TOP,180,-3126.75,3659.06
X1,12Mhz,XTAL,RES038,TOP,180,-4229.37,4019.69
C8,22pF,0603_CAP,,TOP,180,-4140.3,4227.17
C7,22pF,0603_CAP,,TOP,180,-4140.3,4301.97
JP5,JUMPER,CONN-SIL2,,TOP,180,-4672.05,4160.24
JP6,JUMPER,CONN-SIL2,,TOP,180,-4670.47,4282.28
U13,CH340C/G,SO16,C84681,TOP,0,-4397.78,4364.76
C24,100nF,0603_CAP,C77055,TOP,270,-4822.83,4425.45
R41,1k,0603_RES,C328340,TOP,90,-4586.61,4472.69
R42,1k,0603_RES,C328340,TOP,90,-4677.17,4473.76
C25,100nF,0603_CAP,C77055,TOP,90,-4874.02,4426.52
Q1,PMBT3904,215,SOT23-3,C8667,TOP,180,-4139.36,4689.67
Q2,PMBT3904,215,SOT23-3,C8667,TOP,180,-4141.73,4418.21
R39,1k,0603_RES,C328340,TOP,270,-3988.19,4665.61
R40,1k,0603_RES,C328340,TOP,-90,-3988.19,4508.13
R30,10k,0603_RES,C73809,TOP,180,-4140.3,4569.69
R31,10k,0603_RES,C73809,TOP,0,-4395.13,4606.3
U10,DS3231SN,SOIC127P1032X265-16N,,TOP,90,-2185.04,4507.87
U18,AT24C512B,SO8,C81193,TOP,270,-2555.31,4503.8
R13,4.7K,0603_RES,,TOP,0,-2514.31,4712.6
R14,4.7K,0603_RES,,TOP,180,-2654.98,4771.65
R15,4.7K,0603_RES,,TOP,90,-2791.34,4733.72
R16,4.7K,0603_RES,,TOP,0,-2765.21,4610.24
R21,4.7K,0603_RES,,TOP,180,-2513.24,4275.59
R22,4.7K,0603_RES,,TOP,180,-2636.36,4275.59
R23,4.7K,0603_RES,,TOP,180,-2762.35,4275.59
R24,4.7K,0603_RES,,TOP,180,-2762.35,4381.89
C35,100nF,0603_CAP,C77055,TOP,180,-2766.28,4515.75
BAT1,3V,BAT 3V EG,C70376,TOP,90,-2316.93,3751.97
R84,470,0603_RES,C328361,TOP,270,-1952.76,4284.9
D33,1N4148W,SOD123,C511885,TOP,270,-1960.63,4125.98
C34,10uF,1206_CAP,C513774,TOP,0,-2091.54,4181.1
Q9,FQD11P06TM,DPAK-N,C719783,TOP,270,-2603.71,1787.95
Q10,FQD11P06TM,DPAK-N,C719783,TOP,270,-2603.71,1429.69
D1,1N4007,SMA,,TOP,90,-2137.8,1165.53
D2,1N4007,SMA,,TOP,-270,-1952.76,1165.18
U17,PC817XI1J,PC817XI1J,,TOP,180,-3460.63,3276.77
U26,PC817XI1J,PC817XI1J,,TOP,180,-3456.69,3012.99
R2,220,0603_RES,C103414,TOP,90,-2984.25,3359.7
R61,220,0603_RES,C103414,TOP,270,-3086.61,3358.63
R1,1k,0805_RES,C25623,TOP,270,-3031.5,1564.3
R3,10k,0805_RES,C17414,TOP,270,-2921.26,1564.3
R63,10k,0805_RES,C17414,TOP,270,-3031.5,1414.69
R59,10k,0805_RES,C17414,TOP,270,-3039.37,1859.57
R60,1k,0805_RES,C25623,TOP,270,-2921.26,1855.64
R62,10k,0805_RES,C17414,TOP,270,-3035.43,1713.91
Q01,LED smd 0603,LEDC1608X60,C375458,TOP,90,-2267.72,2712.6
Q02,LED smd 0603,LEDC1608X60,C375458,TOP,90,-2267.72,2311.02
Q04,LED smd 0603,LEDC1608X60,C131269,TOP,90,-2263.78,1826.77
QO3,LED smd 0603,LEDC1608X60,C131269,TOP,90,-2263.78,2003.94
R44,1K,0603_RES,C102303,TOP,270,-2267.72,2880.46
R5,1K,0603_RES,C102303,TOP,0,-2250.54,2409.45
R35,330,0603_RES,C103775,TOP,180,-2265.21,2153.54
R36,330,0603_RES,C103775,TOP,90,-2259.84,1640.3
D01,1n4007 Smd Do-214,SOD2614X116,C253524,TOP,90,-2263.78,3039.37
D02,1n4007 Smd Do-214,SOD2614X116,C253524,TOP,180,-2251.97,2582.68
L01,LED smd 0603,LEDC1608X60,C131269,TOP,90,-5350.39,4433.07
L02,LED smd 0603,LEDC1608X60,C131269,TOP,90,-5362.2,3980.31
L03,LED smd 0603,LEDC1608X60,C131269,TOP,90,-5350.39,3377.95
L04,LED smd 0603,LEDC1608X60,C131269,TOP,90,-5354.33,2771.65
L05,LED smd 0603,LEDC1608X60,C131269,TOP,90,-5354.33,2177.17
L06,LED smd 0603,LEDC1608X60,C131269,TOP,90,-5346.46,1688.98
L07,LED smd 0603,LEDC1608X60,C131269,TOP,90,-5354.33,1271.65
R25,680,0603_RES,C103775,TOP,90,-5350.39,4568.36
R26,680,0603_RES,C103775,TOP,90,-5362.2,4112.74
R27,680,0603_RES,C103775,TOP,90,-5350.39,3518.25
R28,680,0603_RES,C103775,TOP,90,-5354.33,2908.02
R6,680,0603_RES,C103775,TOP,90,-5354.33,2321.4
R56,680,0603_RES,C103775,TOP,90,-5346.46,1829.28
R57,680,0603_RES,C103775,TOP,90,-5354.33,1423.76
U5,MC7812BDTRKG,MC7812BDTRKG,,TOP,90,-3739.37,1299.61
U7,TS78M05CP,TS78M05CP,,TOP,180,-4404.72,1275.89
U8,MC7812BDTRKG,MC7812BDTRKG,,TOP,90,-4070.08,1299.61
U11,LM2576-3,3,TO170P1410X464-6,C194472,TOP,90,-3393.7,2422.36
