Part ID;Value;Package;Stock Code;Layer;Rotation;X;Y;
U2;ESP-32s;ESP-32S;C473012;TOP;90;-822.551;110.49;
USB-TIPO B-MICRO-SMD;USB-TIPO-B-MICRO-SMD;476420001;;TOP;180;-128.65;121.807;
PINES LIBRES;CONN-SIL18;CONN-SIL18;;TOP;180;-838.299;123.3;
S-CAP1;TBLOCK-M3;TBLOCK-M3;;TOP;270;-143.4;116.196;
S-CAP2;TBLOCK-M3;TBLOCK-M3;;TOP;270;-143.4;100.996;
S-CAP3;TBLOCK-M3;TBLOCK-M3;;TOP;270;-143.4;857.961;
S-OPTICO1;TBLOCK-M3;TBLOCK-M3;;TOP;270;-143.4;704.962;
S-TEMP1;TBLOCK-M3;TBLOCK-M3;;TOP;270;-143.4;551.962;
4-20-A;TBLOCK-M2;TBLOCK-M2;;TOP;270;-143.4;423.982;
4-20-B;TBLOCK-M2;TBLOCK-M2;;TOP;270;-143.4;321.981;
FUENTE;TBLOCK-M2;TBLOCK-M2;;TOP;0;-851.019;29.7;
OUT1;TBLOCK-M2;TBLOCK-M2;;TOP;90;-51.1;690.019;
OUT2;TBLOCK-M2;TBLOCK-M2;;TOP;90;-51.1;58.802;
OUT4   OUT3;TBLOCK-M2;TBLOCK-M2;;TOP;90;-51.1;486.019;
12V;TBLOCK-M2;TBLOCK-M2;;TOP;90;-51.1;38.402;
220V;TBLOCK-M2;TBLOCK-M2;;TOP;90;-51.1;79.102;
LCD;CONN-H4;CONN-SIL4;;TOP;180;-547.101;123.3;
BTN1;RST;BUTTON SMD 2P;C561519;TOP;270;-117.8;122.2;
BTN2;RST;BUTTON SMD 2P;C561519;TOP;270;-111.6;122.1;
RELAY1;5 Vcc. 10 Amp;117211503;;TOP;0;-710.999;746.999;
RELAY2;5 Vcc. 10 Amp;117211503;;TOP;0;-710.999;57.8;
ULN2803AG;ULN2803;SOP18;;TOP;180;-794.194;929.401;
X1;12Mhz;XTAL;RES038;TOP;180;-107.426;102.1;
C8;22pF;0603_CAP;;TOP;180;-105.164;107.37;
C7;22pF;0603_CAP;;TOP;180;-105.164;109.27;
JP5;JUMPER;CONN-SIL2;;TOP;180;-118.67;105.67;
JP6;JUMPER;CONN-SIL2;;TOP;180;-118.63;108.77;
U13;CH340C/G;SO16;C84681;TOP;0;-111.704;110.865;
C24;100nF;0603_CAP;C77055;TOP;270;-122.5;112.406;
R41;1k;0603_RES;C328340;TOP;90;-116.5;113.606;
R42;1k;0603_RES;C328340;TOP;90;-118.8;113.634;
C25;100nF;0603_CAP;C77055;TOP;90;-123.8;112.434;
Q1;PMBT3904;215;SOT23-3;TOP;180;-105.14;119.118;119.118
Q2;PMBT3904;215;SOT23-3;TOP;180;-105.2;112.223;112.223
R39;1k;0603_RES;C328340;TOP;270;-101.3;118.506;
R40;1k;0603_RES;C328340;TOP;-90;-101.3;114.507;
R30;10k;0603_RES;C73809;TOP;180;-105.164;116.07;
